year_month,wind_speed,year,month,date,moving_avg
2010-01,2.756267409470752,2010,1,2010-01-01,
2010-02,3.388059701492537,2010,2,2010-02-01,
2010-03,3.360699865410498,2010,3,2010-03-01,
2010-04,3.191340782122905,2010,4,2010-04-01,
2010-05,3.293640054127199,2010,5,2010-05-01,
2010-06,3.558333333333333,2010,6,2010-06-01,
2010-07,3.5754716981132075,2010,7,2010-07-01,
2010-08,2.5954301075268815,2010,8,2010-08-01,
2010-09,2.5933147632311977,2010,9,2010-09-01,
2010-10,3.58974358974359,2010,10,2010-10-01,
2010-11,2.5195530726256985,2010,11,2010-11-01,
2010-12,2.780619111709287,2010,12,2010-12-01,3.1002061240755907
2011-01,3.7462887989203777,2011,1,2011-01-01,3.182707906529726
2011-02,2.5529061102831596,2011,2,2011-02-01,3.1131117739289444
2011-03,3.096075778078484,2011,3,2011-03-01,3.091059766651277
2011-04,2.8284518828451883,2011,4,2011-04-01,3.0608190250448004
2011-05,2.945872801082544,2011,5,2011-05-01,3.0318384206244122
2011-06,3.482566248256625,2011,6,2011-06-01,3.02552449686802
2011-07,3.025537634408602,2011,7,2011-07-01,2.97969665822597
2011-08,2.8423180592991915,2011,8,2011-08-01,3.0002706542069952
2011-09,3.1569444444444446,2011,9,2011-09-01,3.0472397943080995
2011-10,2.873144399460189,2011,10,2011-10-01,2.987523195117816
2011-11,2.5597222222222222,2011,11,2011-11-01,2.99087062425086
2011-12,3.381081081081081,2011,12,2011-12-01,3.0409091216985087
2012-01,3.012129380053908,2012,1,2012-01-01,2.979729170126303
2012-02,2.8676258992805757,2012,2,2012-02-01,3.005955819209421
2012-03,2.8469945355191255,2012,3,2012-03-01,2.9851990489961415
2012-04,3.268802228412256,2012,4,2012-04-01,3.0218949111267306
2012-05,3.3911290322580645,2012,5,2012-05-01,3.058999597058024
2012-06,3.5125,2012,6,2012-06-01,3.0614940763699714
2012-07,3.5525606469002695,2012,7,2012-07-01,3.105412660744278
2012-08,2.7641509433962264,2012,8,2012-08-01,3.09889873441903
2012-09,2.8375,2012,9,2012-09-01,3.07227836404866
2012-10,2.816464237516869,2012,10,2012-10-01,3.06755501722005
2012-11,3.2875,2012,11,2012-11-01,3.128203165368198
2012-12,3.506720430107527,2012,12,2012-12-01,3.138673111120402
2013-01,3.09421265141319,2013,1,2013-01-01,3.1455133837336753
2013-02,2.9851190476190474,2013,2,2013-02-01,3.155304479428548
2013-03,3.083445491251682,2013,3,2013-03-01,3.1750087257395943
2013-04,3.1154381084840055,2013,4,2013-04-01,3.16222838241224
2013-05,3.4591836734693877,2013,5,2013-05-01,3.167899602513184
2013-06,4.149048625792812,2013,6,2013-06-01,3.2209453213292516
2013-07,3.7113821138211383,2013,7,2013-07-01,3.2341804435726567
2013-08,3.6721311475409837,2013,8,2013-08-01,3.3098454605847203
2013-09,3.525762355415352,2013,9,2013-09-01,3.367200656869333
2013-10,3.294478527607362,2013,10,2013-10-01,3.407035181043541
2013-11,3.7732497387669803,2013,11,2013-11-01,3.447514325940789
2013-12,3.64,2013,12,2013-12-01,3.4586209567651616
2014-01,3.028776978417266,2014,1,2014-01-01,3.453167984015502
2014-02,3.5694915254237287,2014,2,2014-02-01,3.501865690499225
2014-03,3.088957055214724,2014,3,2014-03-01,3.502324987496145
2014-04,3.130252100840336,2014,4,2014-04-01,3.5035594868591726
2014-05,3.76519052523172,2014,5,2014-05-01,3.5290600578393665
2014-06,3.607066381156317,2014,6,2014-06-01,3.483894870786326
2014-07,3.567053854276663,2014,7,2014-07-01,3.471867515824286
2014-08,3.574642126789366,2014,8,2014-08-01,3.4637434307616513
2014-09,3.2978947368421054,2014,9,2014-09-01,3.444754462547214
2014-10,3.065856129685917,2014,10,2014-10-01,3.4257025960537604
2014-11,3.3263378803777544,2014,11,2014-11-01,3.388459941187991
2014-12,3.739130434782609,2014,12,2014-12-01,3.3967208107532088
2015-01,3.084762865792129,2015,1,2015-01-01,3.4013863013677805
2015-02,3.1591928251121075,2015,2,2015-02-01,3.3671947430084788
2015-03,2.973737373737374,2015,3,2015-03-01,3.357593102885367
2015-04,4.142857142857143,2015,4,2015-04-01,3.4419768563867668
2015-05,4.199186991869919,2015,5,2015-05-01,3.4781432286066174
2015-06,4.4911366006256515,2015,6,2015-06-01,3.5518157468957283
2015-07,4.315151515151515,2015,7,2015-07-01,3.6141572186352993
2015-08,3.271617497456765,2015,8,2015-08-01,3.5889051661909157
2015-09,3.173867228661749,2015,9,2015-09-01,3.5785695405092195
2015-10,3.166160081053698,2015,10,2015-10-01,3.586928203123201
2015-11,3.2094240837696337,2015,11,2015-11-01,3.5771853867391914
2015-12,3.6255102040816327,2015,12,2015-12-01,3.567717034180777
2016-01,3.435793731041456,2016,1,2016-01-01,3.5969696062848873
2016-02,3.5194228634850164,2016,2,2016-02-01,3.6269887761492963
2016-03,2.8807053941908713,2016,3,2016-03-01,3.6192361111870874
2016-04,3.2111344537815127,2016,4,2016-04-01,3.5415925537641186
2016-05,3.750252780586451,2016,5,2016-05-01,3.504181369490496
2016-06,3.699367088607595,2016,6,2016-06-01,3.4382005768223247
2016-07,3.8621041879468847,2016,7,2016-07-01,3.4004466328886056
2016-08,3.2160493827160495,2016,8,2016-08-01,3.3958159566602126
2016-09,3.2283298097251585,2016,9,2016-09-01,3.4003545050821633
2016-10,3.702839756592292,2016,10,2016-10-01,3.4450778113770464
2016-11,3.6117021276595747,2016,11,2016-11-01,3.478600981701208
2016-12,3.435137895812053,2016,12,2016-12-01,3.4627366226787433
2017-01,2.9896800825593397,2017,1,2017-01-01,3.4255604853052333
2017-02,3.319506726457399,2017,2,2017-02-01,3.4089008072195988
2017-03,3.0597165991902835,2017,3,2017-03-01,3.4238184076362157
2017-04,3.241850683491062,2017,4,2017-04-01,3.4263780934453454
2017-05,3.0,2017,5,2017-05-01,3.3638570283964744
2017-06,4.386993603411514,2017,6,2017-06-01,3.4211592379634674
2017-07,3.180061037639878,2017,7,2017-07-01,3.3643223087712175
2017-08,4.04786680541103,2017,8,2017-08-01,3.433640427329132
2017-09,3.0823401950162514,2017,9,2017-09-01,3.4214746261033895
2017-10,4.101419878296146,2017,10,2017-10-01,3.454689636245378
2017-11,3.4373024236037937,2017,11,2017-11-01,3.4401563275740625
2017-12,3.842479674796748,2017,12,2017-12-01,3.4741014758227866
2018-01,3.2285136501516685,2018,1,2018-01-01,3.4940042731221475
2018-02,3.0528683914510686,2018,2,2018-02-01,3.4717844118716203
2018-03,3.152129817444219,2018,3,2018-03-01,3.4794855133927816
2018-04,3.2974413646055436,2018,4,2018-04-01,3.4841180701523218
2018-05,4.033707865168539,2018,5,2018-05-01,3.5702603922497
2018-06,3.75678496868476,2018,6,2018-06-01,3.5177430060224704
2018-07,3.6831785345717236,2018,7,2018-07-01,3.5596694641001236
2018-08,3.107471852610031,2018,8,2018-08-01,3.4813032180333745
2018-09,3.2694117647058825,2018,9,2018-09-01,3.496892515507511
2018-10,3.1549586776859506,2018,10,2018-10-01,3.418020748789994
2018-11,2.825165562913907,2018,11,2018-11-01,3.3670093437325033
2018-12,3.891480730223124,2018,12,2018-12-01,3.371092765018035
2019-01,3.079107505070994,2019,1,2019-01-01,3.3586422529279787
2019-02,3.1952861952861955,2019,2,2019-02-01,3.370510403247572
2019-03,3.1620227038183693,2019,3,2019-03-01,3.3713348104454184
2019-04,3.409853249475891,2019,4,2019-04-01,3.380702467517947
2019-05,3.416326530612245,2019,5,2019-05-01,3.3292540229715892
2019-06,4.022058823529412,2019,6,2019-06-01,3.3513601775419772
2019-07,4.145748987854251,2019,7,2019-07-01,3.3899077153155215
2019-08,3.286447638603696,2019,8,2019-08-01,3.404822364148327
2019-09,3.0149732620320857,2019,9,2019-09-01,3.383619155592177
2019-10,3.1211498973305956,2019,10,2019-10-01,3.3808017572292304
2019-11,3.4089569160997732,2019,11,2019-11-01,3.4294510366613857
2019-12,3.516860465116279,2019,12,2019-12-01,3.398232681235816
2020-01,3.4965317919075143,2020,1,2020-01-01,3.4330180384721927
2020-02,3.0940813810110974,2020,2,2020-02-01,3.4245843039492674
2020-03,3.4892344497607657,2020,3,2020-03-01,3.451851949444467
2020-04,3.453305785123967,2020,4,2020-04-01,3.455472994081807
2020-05,4.362198391420911,2020,5,2020-05-01,3.5342956491491955
2020-06,5.5757997218358835,2020,6,2020-06-01,3.6637740573414015
2020-07,5.459139784946236,2020,7,2020-07-01,3.7732232904324
2020-08,3.73360768175583,2020,8,2020-08-01,3.8104866273617444
2020-09,3.0850187265917604,2020,9,2020-09-01,3.8163237494083844
